Using GATK jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/e52bd34ceab7b80d4e49de2b2894974e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx1638M -jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/e52bd34ceab7b80d4e49de2b2894974e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar ApplyBQSR --input results/prepared/P1.N.bwa_mem2.cram --bqsr-recal-file results/prepared/P1.N.grp --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --tmp-dir /tmp/tmp9kaq68wd --output /dev/stdout
03:03:10.895 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/e52bd34ceab7b80d4e49de2b2894974e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
03:03:11.281 INFO  ApplyBQSR - ------------------------------------------------------------
03:03:11.303 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.4.0.0
03:03:11.304 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
03:03:11.304 INFO  ApplyBQSR - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
03:03:11.304 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
03:03:11.305 INFO  ApplyBQSR - Start Date/Time: May 29, 2023 at 3:03:10 AM CST
03:03:11.305 INFO  ApplyBQSR - ------------------------------------------------------------
03:03:11.305 INFO  ApplyBQSR - ------------------------------------------------------------
03:03:11.310 INFO  ApplyBQSR - HTSJDK Version: 3.0.5
03:03:11.310 INFO  ApplyBQSR - Picard Version: 3.0.0
03:03:11.310 INFO  ApplyBQSR - Built for Spark Version: 3.3.1
03:03:11.311 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
03:03:11.311 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
03:03:11.311 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
03:03:11.312 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
03:03:11.312 INFO  ApplyBQSR - Deflater: IntelDeflater
03:03:11.312 INFO  ApplyBQSR - Inflater: IntelInflater
03:03:11.312 INFO  ApplyBQSR - GCS max retries/reopens: 20
03:03:11.313 INFO  ApplyBQSR - Requester pays: disabled
03:03:11.314 INFO  ApplyBQSR - Initializing engine
03:03:13.185 INFO  ApplyBQSR - Done initializing engine
INFO	2023-05-29 03:03:13	SAMFileWriterFactory	Unknown file extension, assuming BAM format when writing file: file:///dev/stdout
WARNING	2023-05-29 03:03:13	SAMFileWriterFactory	Cannot create index for BAM because output file is not a regular file: file:///dev/stdout
03:03:13.463 INFO  ProgressMeter - Starting traversal
03:03:13.464 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
03:03:23.523 INFO  ProgressMeter -         chr1:1311369              0.2                 36000         215075.2
03:03:33.558 INFO  ProgressMeter -        chr1:11943156              0.3                232000         692778.6
03:03:43.669 INFO  ProgressMeter -        chr1:23256759              0.5                441000         876071.9
03:03:53.867 INFO  ProgressMeter -        chr1:35559165              0.7                641000         951933.1
03:04:03.899 INFO  ProgressMeter -        chr1:52881375              0.8                874000        1039795.4
03:04:13.941 INFO  ProgressMeter -        chr1:89020560              1.0               1063000        1054650.7
03:04:23.961 INFO  ProgressMeter -       chr1:116054459              1.2               1246000        1060500.7
03:04:34.110 INFO  ProgressMeter -       chr1:148555069              1.3               1431000        1064679.3
03:04:44.122 INFO  ProgressMeter -       chr1:156745240              1.5               1653000        1094025.8
03:04:54.135 INFO  ProgressMeter -       chr1:180884050              1.7               1866000        1112159.7
03:05:04.154 INFO  ProgressMeter -       chr1:204981921              1.8               2042000        1106885.1
03:05:14.166 INFO  ProgressMeter -       chr1:228275718              2.0               2236000        1111543.8
03:05:24.989 INFO  ProgressMeter -         chr2:2464718              2.2               2424000        1105873.0
03:05:35.002 INFO  ProgressMeter -        chr2:27832530              2.4               2611000        1106871.8
03:05:45.096 INFO  ProgressMeter -        chr2:51222458              2.5               2771000        1096484.9
03:05:55.278 INFO  ProgressMeter -        chr2:80293517              2.7               2961000        1097988.3
03:06:05.271 INFO  ProgressMeter -       chr2:100990342              2.9               3141000        1096941.3
03:06:15.539 INFO  ProgressMeter -       chr2:123171438              3.0               3291000        1084539.8
03:06:25.629 INFO  ProgressMeter -       chr2:149000587              3.2               3434000        1072214.7
03:06:35.646 INFO  ProgressMeter -       chr2:177434178              3.4               3597000        1067464.6
03:06:45.756 INFO  ProgressMeter -       chr2:206048309              3.5               3774000        1066659.1
03:06:55.777 INFO  ProgressMeter -       chr2:229699342              3.7               3962000        1069312.8
03:07:05.856 INFO  ProgressMeter -          chr3:280906              3.9               4136000        1067947.4
03:07:15.855 INFO  ProgressMeter -        chr3:20471868              4.0               4283000        1060196.6
03:07:25.866 INFO  ProgressMeter -        chr3:44761987              4.2               4435000        1054291.5
03:07:35.897 INFO  ProgressMeter -        chr3:52391234              4.4               4639000        1060621.6
03:07:46.017 INFO  ProgressMeter -        chr3:75580409              4.5               4789000        1054261.4
03:07:56.038 INFO  ProgressMeter -       chr3:113883087              4.7               4928000        1046384.5
03:08:06.358 INFO  ProgressMeter -       chr3:133652555              4.9               5099000        1044548.8
03:08:16.615 INFO  ProgressMeter -       chr3:163603513              5.1               5256000        1040280.5
03:08:26.618 INFO  ProgressMeter -       chr3:186065834              5.2               5390000        1032731.9
03:08:36.709 INFO  ProgressMeter -         chr4:5836781              5.4               5583000        1036310.1
03:08:46.730 INFO  ProgressMeter -        chr4:40757917              5.6               5771000        1038999.2
03:08:56.801 INFO  ProgressMeter -        chr4:75058109              5.7               5933000        1036829.9
03:09:06.895 INFO  ProgressMeter -       chr4:108869025              5.9               6103000        1036078.0
03:09:16.901 INFO  ProgressMeter -       chr4:151572035              6.1               6285000        1037599.6
03:09:27.556 INFO  ProgressMeter -          chr5:640352              6.2               6468000        1037400.2
03:09:37.563 INFO  ProgressMeter -        chr5:37687833              6.4               6646000        1038175.3
03:09:47.610 INFO  ProgressMeter -        chr5:74763716              6.6               6818000        1037894.8
03:09:57.650 INFO  ProgressMeter -       chr5:114361249              6.7               6986000        1037052.4
03:10:07.667 INFO  ProgressMeter -       chr5:140364469              6.9               7149000        1035584.2
03:10:17.673 INFO  ProgressMeter -       chr5:161536624              7.1               7362000        1041284.1
03:10:27.692 INFO  ProgressMeter -       chr5:181043464              7.2               7539000        1041715.6
03:10:37.725 INFO  ProgressMeter -        chr6:25450564              7.4               7696000        1039393.7
03:10:47.748 INFO  ProgressMeter -        chr6:41743156              7.6               7900000        1043402.5
03:10:57.905 INFO  ProgressMeter -        chr6:71146812              7.7               8087000        1044744.3
03:11:08.015 INFO  ProgressMeter -       chr6:106819367              7.9               8237000        1041449.8
03:11:18.248 INFO  ProgressMeter -       chr6:138905102              8.1               8417000        1041746.6
03:11:28.264 INFO  ProgressMeter -       chr6:167951616              8.2               8606000        1043575.3
03:11:38.272 INFO  ProgressMeter -        chr7:12470592              8.4               8775000        1042974.9
03:11:48.351 INFO  ProgressMeter -        chr7:43950517              8.6               8947000        1042599.7
03:11:58.352 INFO  ProgressMeter -        chr7:66969944              8.7               9125000        1043083.6
03:12:08.355 INFO  ProgressMeter -        chr7:92128690              8.9               9330000        1046572.3
03:12:18.478 INFO  ProgressMeter -       chr7:104469896              9.1               9527000        1048820.9
03:12:28.525 INFO  ProgressMeter -       chr7:135320938              9.3               9707000        1049293.9
03:12:38.525 INFO  ProgressMeter -       chr7:152118569              9.4               9894000        1050580.6
03:12:48.619 INFO  ProgressMeter -        chr8:17670683              9.6              10061000        1049564.2
03:12:58.621 INFO  ProgressMeter -        chr8:43756951              9.8              10274000        1053462.7
03:13:08.665 INFO  ProgressMeter -        chr8:85715577              9.9              10463000        1054739.7
03:13:18.704 INFO  ProgressMeter -       chr8:123806122             10.1              10657000        1056480.4
03:13:28.704 INFO  ProgressMeter -       chr8:144931676             10.3              10861000        1059198.1
03:13:38.779 INFO  ProgressMeter -        chr9:34257489             10.4              11024000        1057774.3
03:13:48.797 INFO  ProgressMeter -        chr9:71971489             10.6              11200000        1057716.4
03:13:58.805 INFO  ProgressMeter -        chr9:96901760             10.8              11371000        1057211.8
03:14:08.835 INFO  ProgressMeter -       chr9:123266075             10.9              11566000        1058884.4
03:14:18.863 INFO  ProgressMeter -       chr9:133567014             11.1              11774000        1061682.0
03:14:29.072 INFO  ProgressMeter -        chr10:7101307             11.3              11967000        1062777.6
03:14:39.083 INFO  ProgressMeter -       chr10:33202566             11.4              12143000        1062664.8
03:14:49.090 INFO  ProgressMeter -       chr10:59867624             11.6              12311000        1061865.2
03:14:59.096 INFO  ProgressMeter -       chr10:83930382             11.8              12497000        1062624.9
