Using GATK jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar BaseRecalibrator --input results/prepared/P1.T.bwa_mem2.cram --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --known-sites /home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz --tmp-dir /tmp/tmp66cx3p_r --output results/prepared/P1.T.grp
02:21:18.876 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
02:21:19.336 INFO  BaseRecalibrator - ------------------------------------------------------------
02:21:19.344 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.4.0.0
02:21:19.352 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
02:21:19.353 INFO  BaseRecalibrator - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
02:21:19.353 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
02:21:19.354 INFO  BaseRecalibrator - Start Date/Time: May 29, 2023 at 2:21:18 AM CST
02:21:19.354 INFO  BaseRecalibrator - ------------------------------------------------------------
02:21:19.354 INFO  BaseRecalibrator - ------------------------------------------------------------
02:21:19.356 INFO  BaseRecalibrator - HTSJDK Version: 3.0.5
02:21:19.356 INFO  BaseRecalibrator - Picard Version: 3.0.0
02:21:19.367 INFO  BaseRecalibrator - Built for Spark Version: 3.3.1
02:21:19.368 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
02:21:19.368 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
02:21:19.368 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
02:21:19.368 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
02:21:19.369 INFO  BaseRecalibrator - Deflater: IntelDeflater
02:21:19.369 INFO  BaseRecalibrator - Inflater: IntelInflater
02:21:19.369 INFO  BaseRecalibrator - GCS max retries/reopens: 20
02:21:19.369 INFO  BaseRecalibrator - Requester pays: disabled
02:21:19.391 INFO  BaseRecalibrator - Initializing engine
02:21:21.822 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz
02:21:22.868 INFO  BaseRecalibrator - Done initializing engine
02:21:22.890 INFO  BaseRecalibrationEngine - The covariates being used here: 
02:21:22.891 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
02:21:22.891 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
02:21:22.891 INFO  BaseRecalibrationEngine - 	ContextCovariate
02:21:22.891 INFO  BaseRecalibrationEngine - 	CycleCovariate
02:21:23.318 INFO  ProgressMeter - Starting traversal
02:21:23.319 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
02:21:33.543 INFO  ProgressMeter -         chr1:1058444              0.2                 24000         141273.4
02:21:43.571 INFO  ProgressMeter -         chr1:3576650              0.3                146000         432571.2
02:21:53.716 INFO  ProgressMeter -         chr1:7484653              0.5                257000         507303.6
02:22:03.727 INFO  ProgressMeter -        chr1:11294812              0.7                402000         596926.3
02:22:13.740 INFO  ProgressMeter -        chr1:15660877              0.8                544000         647362.2
02:22:23.789 INFO  ProgressMeter -        chr1:18902462              1.0                692000         686632.8
02:22:33.794 INFO  ProgressMeter -        chr1:22589207              1.2                853000         726225.3
02:22:43.799 INFO  ProgressMeter -        chr1:25988364              1.3                981000         731370.9
02:22:54.016 INFO  ProgressMeter -        chr1:28973508              1.5               1125000         744252.7
02:23:04.084 INFO  ProgressMeter -        chr1:32593103              1.7               1251000         744923.7
02:23:14.142 INFO  ProgressMeter -        chr1:36292553              1.8               1384000         749417.9
02:23:24.127 INFO  ProgressMeter -        chr1:39762540              2.0               1508000         748963.2
02:23:34.211 INFO  ProgressMeter -        chr1:43941027              2.2               1674000         767350.2
02:23:44.259 INFO  ProgressMeter -        chr1:48232022              2.3               1846000         785871.9
02:23:54.287 INFO  ProgressMeter -        chr1:54152677              2.5               1987000         789703.8
02:24:04.373 INFO  ProgressMeter -        chr1:61359086              2.7               2113000         787189.4
02:24:14.452 INFO  ProgressMeter -        chr1:67320433              2.9               2225000         780095.0
02:24:24.475 INFO  ProgressMeter -        chr1:75373606              3.0               2318000         767740.3
02:24:34.478 INFO  ProgressMeter -        chr1:82904031              3.2               2398000         752671.9
02:24:44.804 INFO  ProgressMeter -        chr1:89931527              3.4               2515000         748939.1
02:24:54.817 INFO  ProgressMeter -        chr1:94868885              3.5               2618000         742709.1
02:25:04.979 INFO  ProgressMeter -       chr1:103002381              3.7               2713000         734368.0
02:25:15.209 INFO  ProgressMeter -       chr1:109660999              3.9               2822000         730173.8
02:25:25.368 INFO  ProgressMeter -       chr1:113732094              4.0               2940000         728778.1
02:25:35.379 INFO  ProgressMeter -       chr1:119471198              4.2               3072000         731257.4
02:25:45.514 INFO  ProgressMeter -       chr1:146136407              4.4               3161000         723357.5
02:25:55.535 INFO  ProgressMeter -       chr1:150927930              4.5               3276000         722076.3
02:26:05.776 INFO  ProgressMeter -       chr1:154008111              4.7               3450000         732854.9
02:26:15.800 INFO  ProgressMeter -       chr1:156646968              4.9               3640000         746715.2
02:26:25.824 INFO  ProgressMeter -       chr1:160231875              5.0               3806000         754896.6
02:26:35.829 INFO  ProgressMeter -       chr1:165213791              5.2               3946000         757610.2
02:26:46.382 INFO  ProgressMeter -       chr1:170719711              5.4               4067000         755334.9
02:26:56.476 INFO  ProgressMeter -       chr1:176477448              5.6               4186000         753881.1
02:27:06.488 INFO  ProgressMeter -       chr1:181326775              5.7               4301000         751991.0
02:27:16.512 INFO  ProgressMeter -       chr1:187152547              5.9               4452000         756302.5
02:27:26.517 INFO  ProgressMeter -       chr1:197102554              6.1               4529000         748189.0
02:27:36.723 INFO  ProgressMeter -       chr1:202602809              6.2               4682000         752323.9
02:27:46.740 INFO  ProgressMeter -       chr1:206012251              6.4               4838000         757085.0
02:27:56.769 INFO  ProgressMeter -       chr1:210238115              6.6               4956000         755777.8
02:28:06.866 INFO  ProgressMeter -       chr1:216321922              6.7               5076000         754707.6
02:28:16.892 INFO  ProgressMeter -       chr1:223312308              6.9               5182000         751789.9
02:28:26.924 INFO  ProgressMeter -       chr1:228174622              7.1               5317000         753107.3
02:28:36.956 INFO  ProgressMeter -       chr1:233659255              7.2               5476000         757684.4
02:28:47.031 INFO  ProgressMeter -       chr1:238157415              7.4               5595000         756571.8
