Using GATK jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/e52bd34ceab7b80d4e49de2b2894974e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx1638M -jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/e52bd34ceab7b80d4e49de2b2894974e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar ApplyBQSR --input results/prepared/P1.T.bwa_mem2.cram --bqsr-recal-file results/prepared/P1.T.grp --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --tmp-dir /tmp/tmpi5_7x0zo --output /dev/stdout
03:37:05.299 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/e52bd34ceab7b80d4e49de2b2894974e_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
03:37:05.587 INFO  ApplyBQSR - ------------------------------------------------------------
03:37:05.605 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.4.0.0
03:37:05.605 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
03:37:05.606 INFO  ApplyBQSR - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
03:37:05.606 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
03:37:05.606 INFO  ApplyBQSR - Start Date/Time: May 29, 2023 at 3:37:05 AM CST
03:37:05.606 INFO  ApplyBQSR - ------------------------------------------------------------
03:37:05.607 INFO  ApplyBQSR - ------------------------------------------------------------
03:37:05.618 INFO  ApplyBQSR - HTSJDK Version: 3.0.5
03:37:05.618 INFO  ApplyBQSR - Picard Version: 3.0.0
03:37:05.618 INFO  ApplyBQSR - Built for Spark Version: 3.3.1
03:37:05.619 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
03:37:05.619 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
03:37:05.619 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
03:37:05.620 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
03:37:05.620 INFO  ApplyBQSR - Deflater: IntelDeflater
03:37:05.620 INFO  ApplyBQSR - Inflater: IntelInflater
03:37:05.625 INFO  ApplyBQSR - GCS max retries/reopens: 20
03:37:05.625 INFO  ApplyBQSR - Requester pays: disabled
03:37:05.626 INFO  ApplyBQSR - Initializing engine
03:37:07.319 INFO  ApplyBQSR - Done initializing engine
INFO	2023-05-29 03:37:07	SAMFileWriterFactory	Unknown file extension, assuming BAM format when writing file: file:///dev/stdout
WARNING	2023-05-29 03:37:07	SAMFileWriterFactory	Cannot create index for BAM because output file is not a regular file: file:///dev/stdout
03:37:07.731 INFO  ProgressMeter - Starting traversal
03:37:07.733 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
03:37:17.804 INFO  ProgressMeter -         chr1:1455618              0.2                 82000         490039.8
03:37:27.826 INFO  ProgressMeter -         chr1:7792239              0.3                311000         928774.1
03:37:37.833 INFO  ProgressMeter -        chr1:15732567              0.5                617000        1229941.2
03:37:47.851 INFO  ProgressMeter -        chr1:23524292              0.7                984000        1471695.3
03:37:57.859 INFO  ProgressMeter -        chr1:31725207              0.8               1300000        1556109.7
03:38:07.893 INFO  ProgressMeter -        chr1:39844699              1.0               1611000        1606742.1
03:38:17.894 INFO  ProgressMeter -        chr1:50235205              1.2               1975000        1688972.5
03:38:27.912 INFO  ProgressMeter -        chr1:65598698              1.3               2304000        1724163.7
03:38:37.966 INFO  ProgressMeter -        chr1:90074082              1.5               2631000        1749470.8
03:38:47.984 INFO  ProgressMeter -       chr1:109297381              1.7               2928000        1752419.0
03:38:57.999 INFO  ProgressMeter -       chr1:120664419              1.8               3252000        1769539.1
03:39:08.023 INFO  ProgressMeter -       chr1:148566998              2.0               3560000        1775708.7
03:39:18.027 INFO  ProgressMeter -       chr1:154510011              2.2               3914000        1802385.4
03:39:28.032 INFO  ProgressMeter -       chr1:160193923              2.3               4254000        1819270.4
03:39:38.119 INFO  ProgressMeter -       chr1:175944650              2.5               4641000        1851635.1
03:39:48.167 INFO  ProgressMeter -       chr1:196726444              2.7               4981000        1862822.1
03:39:58.244 INFO  ProgressMeter -       chr1:207326773              2.8               5361000        1886447.2
03:40:08.263 INFO  ProgressMeter -       chr1:224527925              3.0               5699000        1894100.1
03:40:18.318 INFO  ProgressMeter -       chr1:237610924              3.2               6067000        1910013.9
03:40:28.324 INFO  ProgressMeter -         chr2:3785068              3.3               6364000        1903574.9
03:40:38.335 INFO  ProgressMeter -        chr2:25875249              3.5               6732000        1917939.6
03:40:48.351 INFO  ProgressMeter -        chr2:38112046              3.7               7088000        1927684.6
03:40:58.417 INFO  ProgressMeter -        chr2:60462224              3.8               7435000        1933822.6
03:41:08.463 INFO  ProgressMeter -        chr2:74406363              4.0               7763000        1934864.8
03:41:18.487 INFO  ProgressMeter -        chr2:95181796              4.2               8115000        1941751.4
03:41:28.516 INFO  ProgressMeter -       chr2:108912629              4.3               8486000        1952427.9
03:41:38.520 INFO  ProgressMeter -       chr2:128262161              4.5               8857000        1962501.9
03:41:48.585 INFO  ProgressMeter -       chr2:151547679              4.7               9202000        1965882.3
03:41:58.599 INFO  ProgressMeter -       chr2:170844521              4.8               9538000        1967503.9
03:42:08.609 INFO  ProgressMeter -       chr2:186847647              5.0               9872000        1968651.5
03:42:18.633 INFO  ProgressMeter -       chr2:206162425              5.2              10212000        1970800.8
03:42:28.645 INFO  ProgressMeter -       chr2:219471885              5.3              10550000        1972509.5
03:42:38.650 INFO  ProgressMeter -       chr2:236277218              5.5              10946000        1984672.8
03:42:48.709 INFO  ProgressMeter -         chr3:9384519              5.7              11280000        1984890.4
03:42:58.721 INFO  ProgressMeter -        chr3:27143446              5.8              11643000        1990324.5
03:43:08.738 INFO  ProgressMeter -        chr3:44920358              6.0              12030000        1999423.8
03:43:18.738 INFO  ProgressMeter -        chr3:51970041              6.2              12449000        2013288.2
03:43:28.751 INFO  ProgressMeter -        chr3:68988571              6.4              12825000        2019589.6
