Using GATK jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar BaseRecalibrator --input results/prepared/P1.N.bwa_mem2.cram --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --known-sites /home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz --tmp-dir /tmp/tmpzk9sl1vr --output results/prepared/P1.N.grp
02:21:18.861 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
02:21:19.231 INFO  BaseRecalibrator - ------------------------------------------------------------
02:21:19.248 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.4.0.0
02:21:19.248 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
02:21:19.248 INFO  BaseRecalibrator - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
02:21:19.248 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
02:21:19.249 INFO  BaseRecalibrator - Start Date/Time: May 29, 2023 at 2:21:18 AM CST
02:21:19.249 INFO  BaseRecalibrator - ------------------------------------------------------------
02:21:19.249 INFO  BaseRecalibrator - ------------------------------------------------------------
02:21:19.251 INFO  BaseRecalibrator - HTSJDK Version: 3.0.5
02:21:19.252 INFO  BaseRecalibrator - Picard Version: 3.0.0
02:21:19.252 INFO  BaseRecalibrator - Built for Spark Version: 3.3.1
02:21:19.252 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
02:21:19.254 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
02:21:19.254 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
02:21:19.254 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
02:21:19.255 INFO  BaseRecalibrator - Deflater: IntelDeflater
02:21:19.255 INFO  BaseRecalibrator - Inflater: IntelInflater
02:21:19.255 INFO  BaseRecalibrator - GCS max retries/reopens: 20
02:21:19.255 INFO  BaseRecalibrator - Requester pays: disabled
02:21:19.256 INFO  BaseRecalibrator - Initializing engine
02:21:21.149 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz
02:21:21.833 INFO  BaseRecalibrator - Done initializing engine
02:21:21.879 INFO  BaseRecalibrationEngine - The covariates being used here: 
02:21:21.880 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
02:21:21.880 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
02:21:21.880 INFO  BaseRecalibrationEngine - 	ContextCovariate
02:21:21.880 INFO  BaseRecalibrationEngine - 	CycleCovariate
02:21:22.196 INFO  ProgressMeter - Starting traversal
02:21:22.198 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
02:21:32.206 INFO  ProgressMeter -         chr1:1947003              0.2                 59000         353964.6
02:21:42.234 INFO  ProgressMeter -        chr1:10493451              0.3                175000         524082.9
02:21:52.266 INFO  ProgressMeter -        chr1:17394974              0.5                303000         604649.6
02:22:02.310 INFO  ProgressMeter -        chr1:25245124              0.7                426000         637231.7
02:22:12.319 INFO  ProgressMeter -        chr1:33120117              0.8                564000         675166.1
02:22:22.384 INFO  ProgressMeter -        chr1:42244914              1.0                679000         676901.6
02:22:32.432 INFO  ProgressMeter -        chr1:51656510              1.2                799000         682585.1
02:22:42.496 INFO  ProgressMeter -        chr1:66761462              1.3                907000         677725.5
02:22:52.527 INFO  ProgressMeter -        chr1:86560158              1.5                988000         656267.6
02:23:02.712 INFO  ProgressMeter -       chr1:103017791              1.7               1072000         639917.2
02:23:12.712 INFO  ProgressMeter -       chr1:116754527              1.8               1178000         639562.8
02:23:22.726 INFO  ProgressMeter -       chr1:150941256              2.0               1274000         634214.7
02:23:32.781 INFO  ProgressMeter -       chr1:156932411              2.2               1434000         658896.3
02:23:42.806 INFO  ProgressMeter -       chr1:169520490              2.3               1551000         661840.0
02:23:52.890 INFO  ProgressMeter -       chr1:182806193              2.5               1646000         655376.5
02:24:02.937 INFO  ProgressMeter -       chr1:201445498              2.7               1743000         650619.9
02:24:13.015 INFO  ProgressMeter -       chr1:210075478              2.8               1856000         651937.2
02:24:23.059 INFO  ProgressMeter -       chr1:225725714              3.0               1949000         646577.5
02:24:33.079 INFO  ProgressMeter -       chr1:236516333              3.2               2065000         649095.5
02:24:43.228 INFO  ProgressMeter -         chr2:1588736              3.4               2149000         641396.8
02:24:53.229 INFO  ProgressMeter -        chr2:14634766              3.5               2214000         629484.0
02:25:03.322 INFO  ProgressMeter -        chr2:27083986              3.7               2306000         625715.1
02:25:13.539 INFO  ProgressMeter -        chr2:37062185              3.9               2398000         621939.0
02:25:23.639 INFO  ProgressMeter -        chr2:47023575              4.0               2464000         612323.5
02:25:33.868 INFO  ProgressMeter -        chr2:61474149              4.2               2533000         603888.4
02:25:43.972 INFO  ProgressMeter -        chr2:72480645              4.4               2609000         597999.0
02:25:54.007 INFO  ProgressMeter -        chr2:85597282              4.5               2694000         594684.5
02:26:04.078 INFO  ProgressMeter -       chr2:100286943              4.7               2807000         597490.4
02:26:14.248 INFO  ProgressMeter -       chr2:111878984              4.9               2873000         590241.4
02:26:24.431 INFO  ProgressMeter -       chr2:124752248              5.0               2940000         583655.7
02:26:34.485 INFO  ProgressMeter -       chr2:133021781              5.2               3009000         578123.9
02:26:44.736 INFO  ProgressMeter -       chr2:151296166              5.4               3069000         570911.2
02:26:54.891 INFO  ProgressMeter -       chr2:165155411              5.5               3138000         565928.8
02:27:04.937 INFO  ProgressMeter -       chr2:178573008              5.7               3232000         565796.6
02:27:15.033 INFO  ProgressMeter -       chr2:194844244              5.9               3311000         563039.4
02:27:25.052 INFO  ProgressMeter -       chr2:206771880              6.0               3397000         561713.5
02:27:35.073 INFO  ProgressMeter -       chr2:219035380              6.2               3489000         561421.4
02:27:45.209 INFO  ProgressMeter -       chr2:227472018              6.4               3562000         558001.1
02:27:55.357 INFO  ProgressMeter -       chr2:234316880              6.6               3641000         555654.5
02:28:05.364 INFO  ProgressMeter -       chr2:241735486              6.7               3735000         555850.4
02:28:15.420 INFO  ProgressMeter -        chr3:11034621              6.9               3807000         552779.3
02:28:25.650 INFO  ProgressMeter -        chr3:23336879              7.1               3885000         550476.9
02:28:35.665 INFO  ProgressMeter -        chr3:37273534              7.2               3950000         546755.7
02:28:45.832 INFO  ProgressMeter -        chr3:46994028              7.4               4057000         548695.5
