Using GATK jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx1638M -jar /home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar Mutect2 --native-pair-hmm-threads 20 --input results/prepared/P1.T.cram --input results/prepared/P1.N.cram --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --normal-sample P1.N --f1r2-tar-gz results/called/P1.f1r2.tar.gz --germline-resource /home/victor/DataHub/GATK/af-only-gnomad.hg38.vcf.gz --intervals config/captured_regions.bed --panel-of-normals /home/victor/DataHub/GATK/1000g_pon.hg38.vcf.gz --tmp-dir /tmp/tmpzzg3jex_ --output results/called/P1.vcf.gz
09:03:40.617 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:03:40.878 INFO  Mutect2 - ------------------------------------------------------------
09:03:40.889 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.4.0.0
09:03:40.889 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
09:03:40.890 INFO  Mutect2 - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-71-generic amd64
09:03:40.890 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
09:03:40.894 INFO  Mutect2 - Start Date/Time: May 29, 2023 at 9:03:40 AM CST
09:03:40.894 INFO  Mutect2 - ------------------------------------------------------------
09:03:40.894 INFO  Mutect2 - ------------------------------------------------------------
09:03:40.896 INFO  Mutect2 - HTSJDK Version: 3.0.5
09:03:40.896 INFO  Mutect2 - Picard Version: 3.0.0
09:03:40.898 INFO  Mutect2 - Built for Spark Version: 3.3.1
09:03:40.909 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:03:40.926 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:03:40.927 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:03:40.930 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:03:40.933 INFO  Mutect2 - Deflater: IntelDeflater
09:03:40.933 INFO  Mutect2 - Inflater: IntelInflater
09:03:40.934 INFO  Mutect2 - GCS max retries/reopens: 20
09:03:40.934 INFO  Mutect2 - Requester pays: disabled
09:03:40.939 INFO  Mutect2 - Initializing engine
09:03:43.888 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/1000g_pon.hg38.vcf.gz
09:03:44.407 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/af-only-gnomad.hg38.vcf.gz
09:03:44.645 INFO  FeatureManager - Using codec BEDCodec to read file file:///home/victor/Project/WES/XXXXXXXXSS/config/captured_regions.bed
09:03:44.652 INFO  IntervalArgumentCollection - Processing 58989998 bp from intervals
09:03:44.830 INFO  Mutect2 - Done initializing engine
09:03:45.126 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
09:03:45.354 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/home/victor/Project/WES/XXXXXXXXSS/.snakemake/conda/7f54802ed271dfacc5c816169c8171e5_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
09:03:45.469 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
09:03:45.503 INFO  IntelPairHmm - Available threads: 1
09:03:45.529 INFO  IntelPairHmm - Requested threads: 20
09:03:45.530 WARN  IntelPairHmm - Using 1 available threads, but 20 were requested
09:03:45.530 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
09:03:46.478 INFO  ProgressMeter - Starting traversal
09:03:46.480 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
09:03:56.501 INFO  ProgressMeter -          chr1:772043              0.2                  2560          15347.7
09:04:06.512 INFO  ProgressMeter -          chr1:967076              0.3                  3390          10153.8
09:04:16.520 INFO  ProgressMeter -         chr1:1067258              0.5                  3880           7749.9
09:04:26.581 INFO  ProgressMeter -         chr1:1241724              0.7                  4800           7182.0
09:04:36.708 INFO  ProgressMeter -         chr1:1369101              0.8                  5450           6510.3
09:04:46.924 INFO  ProgressMeter -         chr1:1531886              1.0                  6280           6233.9
09:04:57.037 INFO  ProgressMeter -         chr1:1759179              1.2                  7370           6267.3
09:05:07.134 INFO  ProgressMeter -         chr1:1955952              1.3                  8350           6211.8
09:05:17.387 INFO  ProgressMeter -         chr1:2191105              1.5                  9520           6283.3
09:05:27.402 INFO  ProgressMeter -         chr1:2399880              1.7                 10600           6302.0
09:05:37.474 INFO  ProgressMeter -         chr1:3063526              1.8                 13270           7173.9
09:05:47.490 INFO  ProgressMeter -         chr1:3366862              2.0                 14800           7338.2
09:05:57.513 INFO  ProgressMeter -         chr1:3609143              2.2                 16030           7340.1
09:06:07.621 INFO  ProgressMeter -         chr1:3824367              2.4                 17120           7277.8
09:06:17.718 INFO  ProgressMeter -         chr1:4078523              2.5                 18370           7287.9
09:06:27.786 INFO  ProgressMeter -         chr1:4500383              2.7                 20320           7558.4
09:06:37.823 INFO  ProgressMeter -         chr1:4882690              2.9                 22080           7731.9
09:06:47.837 INFO  ProgressMeter -         chr1:5328077              3.0                 24050           7956.7
09:06:57.854 INFO  ProgressMeter -         chr1:5780165              3.2                 26090           8179.8
09:07:07.923 INFO  ProgressMeter -         chr1:6090666              3.4                 27530           8199.8
09:07:17.938 INFO  ProgressMeter -         chr1:6284989              3.5                 28550           8100.9
09:07:27.954 INFO  ProgressMeter -         chr1:6539433              3.7                 29810           8075.9
09:07:37.960 INFO  ProgressMeter -         chr1:6806141              3.9                 31130           8069.0
09:07:47.986 INFO  ProgressMeter -         chr1:7263480              4.0                 33160           8238.3
09:07:58.135 INFO  ProgressMeter -         chr1:7668771              4.2                 35060           8359.1
09:08:08.219 INFO  ProgressMeter -         chr1:7920065              4.4                 36300           8321.3
09:08:18.591 INFO  ProgressMeter -         chr1:8307113              4.5                 38120           8405.4
09:08:28.596 INFO  ProgressMeter -         chr1:8710568              4.7                 39940           8494.4
09:08:38.680 INFO  ProgressMeter -         chr1:9005275              4.9                 41340           8488.7
09:08:48.697 INFO  ProgressMeter -         chr1:9304857              5.0                 42790           8495.2
09:08:58.720 INFO  ProgressMeter -         chr1:9569938              5.2                 44110           8476.2
09:09:08.733 INFO  ProgressMeter -         chr1:9785826              5.4                 45200           8415.7
09:09:18.743 INFO  ProgressMeter -        chr1:10122282              5.5                 46810           8453.0
09:09:28.849 INFO  ProgressMeter -        chr1:10398762              5.7                 48160           8440.0
09:09:38.977 INFO  ProgressMeter -        chr1:10650833              5.9                 49380           8405.2
09:09:48.978 INFO  ProgressMeter -        chr1:10937455              6.0                 50820           8411.6
09:09:59.044 INFO  ProgressMeter -        chr1:11082137              6.2                 51570           8305.2
09:10:09.051 INFO  ProgressMeter -        chr1:11281458              6.4                 52520           8236.9
09:10:19.097 INFO  ProgressMeter -        chr1:11582500              6.5                 53970           8247.7
09:10:29.341 INFO  ProgressMeter -        chr1:11779363              6.7                 54950           8184.0
09:10:39.347 INFO  ProgressMeter -        chr1:11992120              6.9                 56020           8141.1
09:10:49.352 INFO  ProgressMeter -        chr1:12255459              7.0                 57300           8130.1
09:10:59.518 INFO  ProgressMeter -        chr1:12565392              7.2                 58740           8138.8
09:11:09.522 INFO  ProgressMeter -        chr1:13402065              7.4                 61900           8383.0
09:11:19.589 INFO  ProgressMeter -        chr1:13631671              7.6                 63020           8345.0
09:11:29.609 INFO  ProgressMeter -        chr1:14049647              7.7                 64860           8402.8
09:11:39.672 INFO  ProgressMeter -        chr1:14462452              7.9                 66710           8458.7
09:11:49.711 INFO  ProgressMeter -        chr1:14874987              8.1                 68580           8515.2
09:11:59.739 INFO  ProgressMeter -        chr1:15194133              8.2                 70140           8531.8
09:12:09.777 INFO  ProgressMeter -        chr1:15463571              8.4                 71420           8514.3
09:12:19.901 INFO  ProgressMeter -        chr1:15727895              8.6                 72640           8489.0
09:12:29.920 INFO  ProgressMeter -        chr1:15948167              8.7                 73730           8451.4
09:12:39.941 INFO  ProgressMeter -        chr1:16143622              8.9                 74730           8405.1
09:12:49.967 INFO  ProgressMeter -        chr1:16423582              9.1                 76070           8398.0
09:13:00.457 INFO  ProgressMeter -        chr1:16626598              9.2                 76970           8336.5
09:13:10.516 INFO  ProgressMeter -        chr1:16912377              9.4                 78110           8309.1
09:13:20.548 INFO  ProgressMeter -        chr1:17084901              9.6                 78990           8255.8
